date,realtime_end,realtime_start,value
2000-10-01,2019-10-25,2019-10-25,1128790
2001-01-01,2019-10-25,2019-10-25,1082233
2001-04-01,2019-10-25,2019-10-25,1116597
2001-07-01,2019-10-25,2019-10-25,1062443
2001-10-01,2019-10-25,2019-10-25,1033734
2002-01-01,2019-10-25,2019-10-25,994073
2002-04-01,2019-10-25,2019-10-25,1071574
2002-07-01,2019-10-25,2019-10-25,1068667
2002-10-01,2019-10-25,2019-10-25,1082128
2003-01-01,2019-10-25,2019-10-25,1072017
2003-04-01,2019-10-25,2019-10-25,1096910
2003-07-01,2019-10-25,2019-10-25,1109436
2003-10-01,2019-10-25,2019-10-25,1118800
2004-01-01,2019-10-25,2019-10-25,1145872
2004-04-01,2019-10-25,2019-10-25,1248717
2004-07-01,2019-10-25,2019-10-25,1250976
2004-10-01,2019-10-25,2019-10-25,1288495
2005-01-01,2019-10-25,2019-10-25,1258442
2005-04-01,2019-10-25,2019-10-25,1352179
2005-07-01,2019-10-25,2019-10-25,1384246
2005-10-01,2019-10-25,2019-10-25,1416600
2006-01-01,2019-10-25,2019-10-25,1397414
2006-04-01,2019-10-25,2019-10-25,1485624
2006-07-01,2019-10-25,2019-10-25,1467143
2006-10-01,2019-10-25,2019-10-25,1432485
2007-01-01,2019-10-25,2019-10-25,1405836
2007-04-01,2019-10-25,2019-10-25,1526484
2007-07-01,2019-10-25,2019-10-25,1539399
2007-10-01,2019-10-25,2019-10-25,1588312
2008-01-01,2019-10-25,2019-10-25,1566418
2008-04-01,2019-10-25,2019-10-25,1724172
2008-07-01,2019-10-25,2019-10-25,1682270
2008-10-01,2019-10-25,2019-10-25,1401261
2009-01-01,2019-10-25,2019-10-25,1196693
2009-04-01,2019-10-25,2019-10-25,1253821
2009-07-01,2019-10-25,2019-10-25,1305867
2009-10-01,2019-10-25,2019-10-25,1353446
2010-01-01,2019-10-25,2019-10-25,1349210
2010-04-01,2019-10-25,2019-10-25,1461717
2010-07-01,2019-10-25,2019-10-25,1463507
2010-10-01,2019-10-25,2019-10-25,1481530
2011-01-01,2019-10-25,2019-10-25,1532484
2011-04-01,2019-10-25,2019-10-25,1657405
2011-07-01,2019-10-25,2019-10-25,1650561
2011-10-01,2019-10-25,2019-10-25,1645072
2012-01-01,2019-10-25,2019-10-25,1648177
2012-04-01,2019-10-25,2019-10-25,1689523
2012-07-01,2019-10-25,2019-10-25,1656755
2012-10-01,2019-10-25,2019-10-25,1673633
2013-01-01,2019-10-25,2019-10-25,1626424
2013-04-01,2019-10-25,2019-10-25,1703610
2013-07-01,2019-10-25,2019-10-25,1704177
2013-10-01,2019-10-25,2019-10-25,1709153
2014-01-01,2019-10-25,2019-10-25,1648649
2014-04-01,2019-10-25,2019-10-25,1769399
2014-07-01,2019-10-25,2019-10-25,1768117
2014-10-01,2019-10-25,2019-10-25,1716528
2015-01-01,2019-10-25,2019-10-25,1551422
2015-04-01,2019-10-25,2019-10-25,1669117
2015-07-01,2019-10-25,2019-10-25,1630470
2015-10-01,2019-10-25,2019-10-25,1581670
2016-01-01,2019-10-25,2019-10-25,1481839
2016-04-01,2019-10-25,2019-10-25,1590303
2016-07-01,2019-10-25,2019-10-25,1581096
2016-10-01,2019-10-25,2019-10-25,1595763
2017-01-01,2019-10-25,2019-10-25,1567401
2017-04-01,2019-10-25,2019-10-25,1644161
2017-07-01,2019-10-25,2019-10-25,1645179
2017-10-01,2019-10-25,2019-10-25,1695735
2018-01-01,2019-10-25,2019-10-25,1656885
2018-04-01,2019-10-25,2019-10-25,1768956
2018-07-01,2019-10-25,2019-10-25,1783681
2018-10-01,2019-10-25,2019-10-25,1788271
2019-01-01,2019-10-25,2019-10-25,1668975
2019-04-01,2019-10-25,2019-10-25,1778301
