date,realtime_end,realtime_start,value
2000-10-01,2019-10-25,2019-10-25,15836
2001-01-01,2019-10-25,2019-10-25,15733
2001-04-01,2019-10-25,2019-10-25,17334
2001-07-01,2019-10-25,2019-10-25,18754
2001-10-01,2019-10-25,2019-10-25,19142
2002-01-01,2019-10-25,2019-10-25,19162
2002-04-01,2019-10-25,2019-10-25,21358
2002-07-01,2019-10-25,2019-10-25,21507
2002-10-01,2019-10-25,2019-10-25,21636
2003-01-01,2019-10-25,2019-10-25,21469
2003-04-01,2019-10-25,2019-10-25,23685
2003-07-01,2019-10-25,2019-10-25,23129
2003-10-01,2019-10-25,2019-10-25,22232
2004-01-01,2019-10-25,2019-10-25,23298
2004-04-01,2019-10-25,2019-10-25,24269
2004-07-01,2019-10-25,2019-10-25,25741
2004-10-01,2019-10-25,2019-10-25,23024
2005-01-01,2019-10-25,2019-10-25,24828
2005-04-01,2019-10-25,2019-10-25,24463
2005-07-01,2019-10-25,2019-10-25,27925
2005-10-01,2019-10-25,2019-10-25,28327
2006-01-01,2019-10-25,2019-10-25,27607
2006-04-01,2019-10-25,2019-10-25,28030
2006-07-01,2019-10-25,2019-10-25,30496
2006-10-01,2019-10-25,2019-10-25,27454
2007-01-01,2019-10-25,2019-10-25,27917
2007-04-01,2019-10-25,2019-10-25,29780
2007-07-01,2019-10-25,2019-10-25,29847
2007-10-01,2019-10-25,2019-10-25,27672
2008-01-01,2019-10-25,2019-10-25,27576
2008-04-01,2019-10-25,2019-10-25,28587
2008-07-01,2019-10-25,2019-10-25,27919
2008-10-01,2019-10-25,2019-10-25,27240
2009-01-01,2019-10-25,2019-10-25,31084
2009-04-01,2019-10-25,2019-10-25,33860
2009-07-01,2019-10-25,2019-10-25,35658
2009-10-01,2019-10-25,2019-10-25,34810
2010-01-01,2019-10-25,2019-10-25,35298
2010-04-01,2019-10-25,2019-10-25,35069
2010-07-01,2019-10-25,2019-10-25,33136
2010-10-01,2019-10-25,2019-10-25,35079
2011-01-01,2019-10-25,2019-10-25,34749
2011-04-01,2019-10-25,2019-10-25,33968
2011-07-01,2019-10-25,2019-10-25,36312
2011-10-01,2019-10-25,2019-10-25,36792
2012-01-01,2019-10-25,2019-10-25,35249
2012-04-01,2019-10-25,2019-10-25,35016
2012-07-01,2019-10-25,2019-10-25,36497
2012-10-01,2019-10-25,2019-10-25,35596
2013-01-01,2019-10-25,2019-10-25,39299
2013-04-01,2019-10-25,2019-10-25,35516
2013-07-01,2019-10-25,2019-10-25,39371
2013-10-01,2019-10-25,2019-10-25,41750
2014-01-01,2019-10-25,2019-10-25,42381
2014-04-01,2019-10-25,2019-10-25,42334
2014-07-01,2019-10-25,2019-10-25,41132
2014-10-01,2019-10-25,2019-10-25,48175
2015-01-01,2019-10-25,2019-10-25,48815
2015-04-01,2019-10-25,2019-10-25,51852
2015-07-01,2019-10-25,2019-10-25,45222
2015-10-01,2019-10-25,2019-10-25,46143
2016-01-01,2019-10-25,2019-10-25,47607
2016-04-01,2019-10-25,2019-10-25,49954
2016-07-01,2019-10-25,2019-10-25,46729
2016-10-01,2019-10-25,2019-10-25,48098
2017-01-01,2019-10-25,2019-10-25,43659
2017-04-01,2019-10-25,2019-10-25,51438
2017-07-01,2019-10-25,2019-10-25,45480
2017-10-01,2019-10-25,2019-10-25,51048
2018-01-01,2019-10-25,2019-10-25,49012
2018-04-01,2019-10-25,2019-10-25,46293
2018-07-01,2019-10-25,2019-10-25,46848
2018-10-01,2019-10-25,2019-10-25,52608
2019-01-01,2019-10-25,2019-10-25,54134
2019-04-01,2019-10-25,2019-10-25,51878
