date,realtime_end,realtime_start,value
2000-10-01,2019-10-25,2019-10-25,5836
2001-01-01,2019-10-25,2019-10-25,6470
2001-04-01,2019-10-25,2019-10-25,7419
2001-07-01,2019-10-25,2019-10-25,7096
2001-10-01,2019-10-25,2019-10-25,6744
2002-01-01,2019-10-25,2019-10-25,5629
2002-04-01,2019-10-25,2019-10-25,5553
2002-07-01,2019-10-25,2019-10-25,5284
2002-10-01,2019-10-25,2019-10-25,4767
2003-01-01,2019-10-25,2019-10-25,3802
2003-04-01,2019-10-25,2019-10-25,3376
2003-07-01,2019-10-25,2019-10-25,3475
2003-10-01,2019-10-25,2019-10-25,4765
2004-01-01,2019-10-25,2019-10-25,5136
2004-04-01,2019-10-25,2019-10-25,5511
2004-07-01,2019-10-25,2019-10-25,6218
2004-10-01,2019-10-25,2019-10-25,5372
2005-01-01,2019-10-25,2019-10-25,5852
2005-04-01,2019-10-25,2019-10-25,5421
2005-07-01,2019-10-25,2019-10-25,6302
2005-10-01,2019-10-25,2019-10-25,6498
2006-01-01,2019-10-25,2019-10-25,7686
2006-04-01,2019-10-25,2019-10-25,6451
2006-07-01,2019-10-25,2019-10-25,8910
2006-10-01,2019-10-25,2019-10-25,11035
2007-01-01,2019-10-25,2019-10-25,11255
2007-04-01,2019-10-25,2019-10-25,11933
2007-07-01,2019-10-25,2019-10-25,11821
2007-10-01,2019-10-25,2019-10-25,10881
2008-01-01,2019-10-25,2019-10-25,7631
2008-04-01,2019-10-25,2019-10-25,8716
2008-07-01,2019-10-25,2019-10-25,6388
2008-10-01,2019-10-25,2019-10-25,6675
2009-01-01,2019-10-25,2019-10-25,4890
2009-04-01,2019-10-25,2019-10-25,5216
2009-07-01,2019-10-25,2019-10-25,4842
2009-10-01,2019-10-25,2019-10-25,4711
2010-01-01,2019-10-25,2019-10-25,4302
2010-04-01,2019-10-25,2019-10-25,3865
2010-07-01,2019-10-25,2019-10-25,3065
2010-10-01,2019-10-25,2019-10-25,2879
2011-01-01,2019-10-25,2019-10-25,3596
2011-04-01,2019-10-25,2019-10-25,3616
2011-07-01,2019-10-25,2019-10-25,3649
2011-10-01,2019-10-25,2019-10-25,3673
2012-01-01,2019-10-25,2019-10-25,3498
2012-04-01,2019-10-25,2019-10-25,3670
2012-07-01,2019-10-25,2019-10-25,3713
2012-10-01,2019-10-25,2019-10-25,3301
2013-01-01,2019-10-25,2019-10-25,3535
2013-04-01,2019-10-25,2019-10-25,3427
2013-07-01,2019-10-25,2019-10-25,3739
2013-10-01,2019-10-25,2019-10-25,4399
2014-01-01,2019-10-25,2019-10-25,5490
2014-04-01,2019-10-25,2019-10-25,5920
2014-07-01,2019-10-25,2019-10-25,6020
2014-10-01,2019-10-25,2019-10-25,5706
2015-01-01,2019-10-25,2019-10-25,5330
2015-04-01,2019-10-25,2019-10-25,5070
2015-07-01,2019-10-25,2019-10-25,4559
2015-10-01,2019-10-25,2019-10-25,4669
2016-01-01,2019-10-25,2019-10-25,5198
2016-04-01,2019-10-25,2019-10-25,5729
2016-07-01,2019-10-25,2019-10-25,5704
2016-10-01,2019-10-25,2019-10-25,5280
2017-01-01,2019-10-25,2019-10-25,5024
2017-04-01,2019-10-25,2019-10-25,4980
2017-07-01,2019-10-25,2019-10-25,4901
2017-10-01,2019-10-25,2019-10-25,5260
2018-01-01,2019-10-25,2019-10-25,5473
2018-04-01,2019-10-25,2019-10-25,7389
2018-07-01,2019-10-25,2019-10-25,7975
2018-10-01,2019-10-25,2019-10-25,6538
2019-01-01,2019-10-25,2019-10-25,6417
2019-04-01,2019-10-25,2019-10-25,7200
