date,realtime_end,realtime_start,value
2000-10-01,2019-10-25,2019-10-25,33670
2001-01-01,2019-10-25,2019-10-25,36997
2001-04-01,2019-10-25,2019-10-25,42897
2001-07-01,2019-10-25,2019-10-25,43158
2001-10-01,2019-10-25,2019-10-25,43027
2002-01-01,2019-10-25,2019-10-25,41207
2002-04-01,2019-10-25,2019-10-25,40777
2002-07-01,2019-10-25,2019-10-25,41256
2002-10-01,2019-10-25,2019-10-25,40932
2003-01-01,2019-10-25,2019-10-25,40987
2003-04-01,2019-10-25,2019-10-25,32844
2003-07-01,2019-10-25,2019-10-25,35091
2003-10-01,2019-10-25,2019-10-25,35519
2004-01-01,2019-10-25,2019-10-25,34261
2004-04-01,2019-10-25,2019-10-25,34240
2004-07-01,2019-10-25,2019-10-25,31159
2004-10-01,2019-10-25,2019-10-25,31505
2005-01-01,2019-10-25,2019-10-25,30952
2005-04-01,2019-10-25,2019-10-25,30528
2005-07-01,2019-10-25,2019-10-25,36559
2005-10-01,2019-10-25,2019-10-25,34973
2006-01-01,2019-10-25,2019-10-25,38176
2006-04-01,2019-10-25,2019-10-25,41800
2006-07-01,2019-10-25,2019-10-25,46234
2006-10-01,2019-10-25,2019-10-25,45709
2007-01-01,2019-10-25,2019-10-25,48451
2007-04-01,2019-10-25,2019-10-25,55944
2007-07-01,2019-10-25,2019-10-25,61763
2007-10-01,2019-10-25,2019-10-25,65688
2008-01-01,2019-10-25,2019-10-25,63359
2008-04-01,2019-10-25,2019-10-25,65290
2008-07-01,2019-10-25,2019-10-25,69832
2008-10-01,2019-10-25,2019-10-25,67082
2009-01-01,2019-10-25,2019-10-25,65553
2009-04-01,2019-10-25,2019-10-25,61788
2009-07-01,2019-10-25,2019-10-25,60598
2009-10-01,2019-10-25,2019-10-25,53592
2010-01-01,2019-10-25,2019-10-25,52509
2010-04-01,2019-10-25,2019-10-25,54840
2010-07-01,2019-10-25,2019-10-25,53198
2010-10-01,2019-10-25,2019-10-25,51244
2011-01-01,2019-10-25,2019-10-25,44320
2011-04-01,2019-10-25,2019-10-25,48523
2011-07-01,2019-10-25,2019-10-25,59408
2011-10-01,2019-10-25,2019-10-25,56988
2012-01-01,2019-10-25,2019-10-25,56807
2012-04-01,2019-10-25,2019-10-25,61038
2012-07-01,2019-10-25,2019-10-25,62868
2012-10-01,2019-10-25,2019-10-25,59431
2013-01-01,2019-10-25,2019-10-25,59949
2013-04-01,2019-10-25,2019-10-25,60030
2013-07-01,2019-10-25,2019-10-25,63533
2013-10-01,2019-10-25,2019-10-25,69054
2014-01-01,2019-10-25,2019-10-25,72440
2014-04-01,2019-10-25,2019-10-25,70381
2014-07-01,2019-10-25,2019-10-25,58516
2014-10-01,2019-10-25,2019-10-25,59535
2015-01-01,2019-10-25,2019-10-25,79046
2015-04-01,2019-10-25,2019-10-25,88255
2015-07-01,2019-10-25,2019-10-25,92706
2015-10-01,2019-10-25,2019-10-25,91307
2016-01-01,2019-10-25,2019-10-25,95651
2016-04-01,2019-10-25,2019-10-25,94006
2016-07-01,2019-10-25,2019-10-25,97392
2016-10-01,2019-10-25,2019-10-25,99914
2017-01-01,2019-10-25,2019-10-25,94354
2017-04-01,2019-10-25,2019-10-25,96209
2017-07-01,2019-10-25,2019-10-25,98720
2017-10-01,2019-10-25,2019-10-25,100129
2018-01-01,2019-10-25,2019-10-25,95922
2018-04-01,2019-10-25,2019-10-25,95339
2018-07-01,2019-10-25,2019-10-25,96740
2018-10-01,2019-10-25,2019-10-25,98874
2019-01-01,2019-10-25,2019-10-25,99322
2019-04-01,2019-10-25,2019-10-25,100606
