date,realtime_end,realtime_start,value
2000-10-01,2019-10-25,2019-10-25,1150002
2001-01-01,2019-10-25,2019-10-25,1113068
2001-04-01,2019-10-25,2019-10-25,1093955
2001-07-01,2019-10-25,2019-10-25,1058149
2001-10-01,2019-10-25,2019-10-25,1022386
2002-01-01,2019-10-25,2019-10-25,974077
2002-04-01,2019-10-25,2019-10-25,955811
2002-07-01,2019-10-25,2019-10-25,971003
2002-10-01,2019-10-25,2019-10-25,947958
2003-01-01,2019-10-25,2019-10-25,1019514
2003-04-01,2019-10-25,2019-10-25,1022431
2003-07-01,2019-10-25,2019-10-25,1052721
2003-10-01,2019-10-25,2019-10-25,1084530
2004-01-01,2019-10-25,2019-10-25,1098743
2004-04-01,2019-10-25,2019-10-25,1139392
2004-07-01,2019-10-25,2019-10-25,1205999
2004-10-01,2019-10-25,2019-10-25,1241911
2005-01-01,2019-10-25,2019-10-25,1295578
2005-04-01,2019-10-25,2019-10-25,1356234
2005-07-01,2019-10-25,2019-10-25,1396722
2005-10-01,2019-10-25,2019-10-25,1461913
2006-01-01,2019-10-25,2019-10-25,1524915
2006-04-01,2019-10-25,2019-10-25,1611105
2006-07-01,2019-10-25,2019-10-25,1689599
2006-10-01,2019-10-25,2019-10-25,1669840
2007-01-01,2019-10-25,2019-10-25,1754830
2007-04-01,2019-10-25,2019-10-25,1818626
2007-07-01,2019-10-25,2019-10-25,1833037
2007-10-01,2019-10-25,2019-10-25,1864217
2008-01-01,2019-10-25,2019-10-25,1910835
2008-04-01,2019-10-25,2019-10-25,1916544
2008-07-01,2019-10-25,2019-10-25,1956848
2008-10-01,2019-10-25,2019-10-25,1798359
2009-01-01,2019-10-25,2019-10-25,1755003
2009-04-01,2019-10-25,2019-10-25,1744160
2009-07-01,2019-10-25,2019-10-25,1887603
2009-10-01,2019-10-25,2019-10-25,1926453
2010-01-01,2019-10-25,2019-10-25,1953925
2010-04-01,2019-10-25,2019-10-25,2035663
2010-07-01,2019-10-25,2019-10-25,2109421
2010-10-01,2019-10-25,2019-10-25,2179242
2011-01-01,2019-10-25,2019-10-25,2254085
2011-04-01,2019-10-25,2019-10-25,2355796
2011-07-01,2019-10-25,2019-10-25,2419978
2011-10-01,2019-10-25,2019-10-25,2474413
2012-01-01,2019-10-25,2019-10-25,2554961
2012-04-01,2019-10-25,2019-10-25,2601888
2012-07-01,2019-10-25,2019-10-25,2662934
2012-10-01,2019-10-25,2019-10-25,2706825
2013-01-01,2019-10-25,2019-10-25,2766686
2013-04-01,2019-10-25,2019-10-25,2828748
2013-07-01,2019-10-25,2019-10-25,2877801
2013-10-01,2019-10-25,2019-10-25,2919026
2014-01-01,2019-10-25,2019-10-25,2965818
2014-04-01,2019-10-25,2019-10-25,3018316
2014-07-01,2019-10-25,2019-10-25,3082733
2014-10-01,2019-10-25,2019-10-25,3103205
2015-01-01,2019-10-25,2019-10-25,3154493
2015-04-01,2019-10-25,2019-10-25,3176977
2015-07-01,2019-10-25,2019-10-25,3210687
2015-10-01,2019-10-25,2019-10-25,3209413
2016-01-01,2019-10-25,2019-10-25,3179811
2016-04-01,2019-10-25,2019-10-25,3211278
2016-07-01,2019-10-25,2019-10-25,3270874
2016-10-01,2019-10-25,2019-10-25,3204233
2017-01-01,2019-10-25,2019-10-25,3239602
2017-04-01,2019-10-25,2019-10-25,3265237
2017-07-01,2019-10-25,2019-10-25,3313864
2017-10-01,2019-10-25,2019-10-25,3288049
2018-01-01,2019-10-25,2019-10-25,3331476
2018-04-01,2019-10-25,2019-10-25,3384668
2018-07-01,2019-10-25,2019-10-25,3418589
2018-10-01,2019-10-25,2019-10-25,3411054
2019-01-01,2019-10-25,2019-10-25,3392837
2019-04-01,2019-10-25,2019-10-25,3433858
