date,realtime_end,realtime_start,value
2009-10-01,2019-10-25,2019-10-25,75704
2010-01-01,2019-10-25,2019-10-25,75101
2010-04-01,2019-10-25,2019-10-25,73659
2010-07-01,2019-10-25,2019-10-25,81497
2010-10-01,2019-10-25,2019-10-25,83621
2011-01-01,2019-10-25,2019-10-25,93589
2011-04-01,2019-10-25,2019-10-25,91199
2011-07-01,2019-10-25,2019-10-25,89108
2011-10-01,2019-10-25,2019-10-25,92733
2012-01-01,2019-10-25,2019-10-25,93935
2012-04-01,2019-10-25,2019-10-25,95111
2012-07-01,2019-10-25,2019-10-25,107305
2012-10-01,2019-10-25,2019-10-25,98107
2013-01-01,2019-10-25,2019-10-25,93393
2013-04-01,2019-10-25,2019-10-25,85433
2013-07-01,2019-10-25,2019-10-25,146981
2013-10-01,2019-10-25,2019-10-25,149664
2014-01-01,2019-10-25,2019-10-25,95859
2014-04-01,2019-10-25,2019-10-25,98397
2014-07-01,2019-10-25,2019-10-25,122459
2014-10-01,2019-10-25,2019-10-25,117539
2015-01-01,2019-10-25,2019-10-25,98198
2015-04-01,2019-10-25,2019-10-25,101412
2015-07-01,2019-10-25,2019-10-25,91710
2015-10-01,2019-10-25,2019-10-25,92839
2016-01-01,2019-10-25,2019-10-25,107492
2016-04-01,2019-10-25,2019-10-25,104624
2016-07-01,2019-10-25,2019-10-25,118183
2016-10-01,2019-10-25,2019-10-25,116162
2017-01-01,2019-10-25,2019-10-25,121464
2017-04-01,2019-10-25,2019-10-25,111385
2017-07-01,2019-10-25,2019-10-25,157427
2017-10-01,2019-10-25,2019-10-25,149715
2018-01-01,2019-10-25,2019-10-25,156478
2018-04-01,2019-10-25,2019-10-25,136813
2018-07-01,2019-10-25,2019-10-25,134584
2018-10-01,2019-10-25,2019-10-25,137976
2019-01-01,2019-10-25,2019-10-25,123151
2019-04-01,2019-10-25,2019-10-25,127776
