date,realtime_end,realtime_start,value
2009-10-01,2019-10-25,2019-10-25,219001
2010-01-01,2019-10-25,2019-10-25,209650
2010-04-01,2019-10-25,2019-10-25,214402
2010-07-01,2019-10-25,2019-10-25,214263
2010-10-01,2019-10-25,2019-10-25,228243
2011-01-01,2019-10-25,2019-10-25,221728
2011-04-01,2019-10-25,2019-10-25,233411
2011-07-01,2019-10-25,2019-10-25,234436
2011-10-01,2019-10-25,2019-10-25,243338
2012-01-01,2019-10-25,2019-10-25,234886
2012-04-01,2019-10-25,2019-10-25,243418
2012-07-01,2019-10-25,2019-10-25,241405
2012-10-01,2019-10-25,2019-10-25,253324
2013-01-01,2019-10-25,2019-10-25,243800
2013-04-01,2019-10-25,2019-10-25,249524
2013-07-01,2019-10-25,2019-10-25,246436
2013-10-01,2019-10-25,2019-10-25,263497
2014-01-01,2019-10-25,2019-10-25,253161
2014-04-01,2019-10-25,2019-10-25,262553
2014-07-01,2019-10-25,2019-10-25,262349
2014-10-01,2019-10-25,2019-10-25,279595
2015-01-01,2019-10-25,2019-10-25,267728
2015-04-01,2019-10-25,2019-10-25,275249
2015-07-01,2019-10-25,2019-10-25,275093
2015-10-01,2019-10-25,2019-10-25,290554
2016-01-01,2019-10-25,2019-10-25,279373
2016-04-01,2019-10-25,2019-10-25,287639
2016-07-01,2019-10-25,2019-10-25,291989
2016-10-01,2019-10-25,2019-10-25,307594
2017-01-01,2019-10-25,2019-10-25,291345
2017-04-01,2019-10-25,2019-10-25,301085
2017-07-01,2019-10-25,2019-10-25,300364
2017-10-01,2019-10-25,2019-10-25,323393
2018-01-01,2019-10-25,2019-10-25,308224
2018-04-01,2019-10-25,2019-10-25,318316
2018-07-01,2019-10-25,2019-10-25,316926
2018-10-01,2019-10-25,2019-10-25,339351
2019-01-01,2019-10-25,2019-10-25,318401
2019-04-01,2019-10-25,2019-10-25,333000
